time,initial_leaf_ratio,potential_leaf_area_increase,shoot_carbon,root_carbon,leaf_carbon,stem_carbon,nonstructural_carbon_mass,agefn,initial_seed_mass,seed_mass_export_limit,seed_mass_export_rate,seed_mass,initial_leaf_mass,active_leaf_mass,dropped_leaf_mass,total_leaf_mass,root_mass,leaf_mass,stem_mass,shoot_mass,total_mass,living_root_mass,living_leaf_mass,living_stem_mass,living_shoot_mass,living_total_mass,potential_carbon_demand,PD,leaf_area,green_leaf_area,green_leaf_ratio,LAI,actual_green_leaf_area,senescent_leaf_area,potential_leaf_area,dropped_leaf_area,leaves_initiated,leaves_appeared,leaves_growing,leaves_mature,leaves_dropped,leaves_fresh,primordia,shoot_to_root_ratio,root_to_shoot_ratio,leaf_to_stem_ratio,stem_to_leaf_ratio,C_to_CH2O_ratio,assimilation,dp,C_conc,carbon_reserve_from_seed,carbon_reserve,carbon_translocation,carbon_pool,nonstructural_carbon,carbon_supply,carbon_temperature_effect,carbon_growth_factor,carbon_translocating,carbon_translocation_rate,carbon_supply_rate,Rm,maintenance_respiration,carbon_available,Yg,total_carbon,water_supply,CO2_weight,C_weight,CH2O_weight,H2O_weight,CH2O_to_C_ratio,PD0,CDSF,CDCT,enable_cold_damage,CDM,CDS,leaf_width,LWP,evapotranspiration_supply,LAI_sunlit,LAI_shaded,Q_sun,Q_sh,A_gross,A_net,ET,gross_assimilation,net_assimilation,transpiration,vapor_pressure_deficit,conductance,SLA,LMA,DAP,date
2022-09-07T12:00:00.000+08:00,0.126,0.0 cm²,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,6.1022517579584775e-5 g,0.0,0.001 g,10.0 % d⁻¹,6.106615222047216e-5 g d⁻¹,0.0009389774824204152 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0009389774824204152 g,0.0009389774824204152 g,0.0 g,0.0 g,0.0 g,0.0009389774824204152 g,0.0009389774824204152 g,0.0 g,54.999999999999815 m⁻²,0.0 cm²,0.0 cm²,0.0,0.0,0.0 cm²,0.0 cm²,0.0 cm²,0.0 cm²,4,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d⁻¹,seed,0.45,6.870914499569966e-5 g d⁻¹,6.866004907662582e-5 g,0.0 g d⁻¹,0.0 g,6.866004907662582e-5 g,0.0 g d⁻¹,0.6503473551150674,0.2 hr⁻¹,false,0.0 hr⁻¹,0.13006947102301347 hr⁻¹,0.039 d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.7,0.0 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,8.666598595097235e-15 d⁻¹,0.9999999999999967,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0,0.0,71.29579623921042 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 mmol m⁻² s⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.4260980992125209 kPa,0.0 mol bar⁻¹ m⁻² s⁻¹,NaN cm² g⁻¹,NaN g cm⁻²,1 d,2022-09-07
2022-09-08T12:00:00.000+08:00,0.126,0.0 cm²,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.00012946089599949855 g,0.0,0.001 g,10.0 % d⁻¹,5.5075906890881995e-5 g d⁻¹,0.0008705391040005013 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0008705391040005013 g,0.0008705391040005013 g,0.0 g,0.0 g,0.0 g,0.0008705391040005013 g,0.0008705391040005013 g,0.0 g,54.99999999999946 m⁻²,0.0 cm²,0.0 cm²,0.0,0.0,0.0 cm²,0.0 cm²,0.0 cm²,0.0 cm²,5,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d⁻¹,seed,0.45,6.196916515507296e-5 g d⁻¹,0.0001456641224485187 g,0.0 g d⁻¹,0.0 g,0.0001456641224485187 g,0.0 g d⁻¹,0.6326643643896585,0.2 hr⁻¹,false,0.0 hr⁻¹,0.1265328728779317 hr⁻¹,0.039 d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.7,0.0 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,1.135293606835217e-14 d⁻¹,0.9999999999999902,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0,0.0,73.94993981023553 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 mmol m⁻² s⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.40246865742771093 kPa,0.0 mol bar⁻¹ m⁻² s⁻¹,NaN cm² g⁻¹,NaN g cm⁻²,2 d,2022-09-08
2022-09-09T12:00:00.000+08:00,0.126,0.0 cm²,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0001929653214476877 g,0.0,0.001 g,10.0 % d⁻¹,5.1363101521504707e-5 g d⁻¹,0.0008070346785523124 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0008070346785523124 g,0.0008070346785523124 g,0.0 g,0.0 g,0.0 g,0.0008070346785523124 g,0.0008070346785523124 g,0.0 g,54.99999999999911 m⁻²,0.0 cm²,0.0 cm²,0.0,0.0,0.0 cm²,0.0 cm²,0.0 cm²,0.0 cm²,5,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d⁻¹,seed,0.45,5.7791667913322167e-5 g d⁻¹,0.00021711671307900283 g,0.0 g d⁻¹,0.0 g,0.00021711671307900283 g,0.0 g d⁻¹,0.6364423101822795,0.2 hr⁻¹,false,0.0 hr⁻¹,0.1272884620364559 hr⁻¹,0.039 d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.7,0.0 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,1.0717483660333607e-14 d⁻¹,0.9999999999999838,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0,0.0,74.3097347693495 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 mmol m⁻² s⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.391339693007796 kPa,0.0 mol bar⁻¹ m⁻² s⁻¹,NaN cm² g⁻¹,NaN g cm⁻²,3 d,2022-09-09
2022-09-10T12:00:00.000+08:00,0.126,0.0 cm²,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.00025171045702035167 g,0.0,0.001 g,10.0 % d⁻¹,4.771702868544999e-5 g d⁻¹,0.0007482895429796483 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0007482895429796483 g,0.0007482895429796483 g,0.0 g,0.0 g,0.0 g,0.0007482895429796483 g,0.0007482895429796483 g,0.0 g,54.99999999999876 m⁻²,0.0 cm²,0.0 cm²,0.0,0.0,0.0 cm²,0.0 cm²,0.0 cm²,0.0 cm²,6,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d⁻¹,seed,0.45,5.36892553975819e-5 g d⁻¹,0.00028321434476343444 g,0.0 g d⁻¹,0.0 g,0.00028321434476343444 g,0.0 g d⁻¹,0.6376813511978715,0.2 hr⁻¹,false,0.0 hr⁻¹,0.1275362702395743 hr⁻¹,0.039 d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.7,0.0 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,1.0516825412652692e-14 d⁻¹,0.9999999999999774,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0,0.0,65.34085849792517 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 mmol m⁻² s⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.39062149510667643 kPa,0.0 mol bar⁻¹ m⁻² s⁻¹,NaN cm² g⁻¹,NaN g cm⁻²,4 d,2022-09-10
2022-09-11T12:00:00.000+08:00,0.126,0.0 cm²,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0002987422581758721 g,0.0,0.001 g,10.0 % d⁻¹,4.427496603513648e-5 g d⁻¹,0.000701257741824128 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.000701257741824128 g,0.000701257741824128 g,0.0 g,0.0 g,0.0 g,0.000701257741824128 g,0.000701257741824128 g,0.0 g,54.999999999998245 m⁻²,0.0 cm²,0.0 cm²,0.0,0.0,0.0 cm²,0.0 cm²,0.0 cm²,0.0 cm²,6,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d⁻¹,seed,0.45,4.981638682595791e-5 g d⁻¹,0.0003361326100789985 g,0.0 g d⁻¹,0.0 g,0.0003361326100789985 g,0.0 g d⁻¹,0.6313650943798125,0.2 hr⁻¹,false,0.0 hr⁻¹,0.1262730188759625 hr⁻¹,0.039 d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.7,0.0 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,1.1579964365683064e-14 d⁻¹,0.9999999999999681,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0,0.0,58.63048283005227 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 mmol m⁻² s⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.41481814768237424 kPa,0.0 mol bar⁻¹ m⁻² s⁻¹,NaN cm² g⁻¹,NaN g cm⁻²,5 d,2022-09-11
2022-09-12T12:00:00.000+08:00,0.126,0.0 cm²,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.00034297932127712934 g,0.0,0.001 g,10.0 % d⁻¹,4.272916606633253e-5 g d⁻¹,0.0006570206787228706 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0006570206787228706 g,0.0006570206787228706 g,0.0 g,0.0 g,0.0 g,0.0006570206787228706 g,0.0006570206787228706 g,0.0 g,54.99999999999776 m⁻²,0.0 cm²,0.0 cm²,0.0,0.0,0.0 cm²,0.0 cm²,0.0 cm²,0.0 cm²,7,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d⁻¹,seed,0.45,4.80771157186604e-5 g d⁻¹,0.00038590635006894376 g,0.0 g d⁻¹,0.0 g,0.00038590635006894376 g,0.0 g d⁻¹,0.6503473551150674,0.2 hr⁻¹,false,0.0 hr⁻¹,0.13006947102301347 hr⁻¹,0.039 d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.7,0.0 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,8.666598595097235e-15 d⁻¹,0.9999999999999593,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0,0.0,58.925117022717195 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 mmol m⁻² s⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.4035151481185553 kPa,0.0 mol bar⁻¹ m⁻² s⁻¹,NaN cm² g⁻¹,NaN g cm⁻²,6 d,2022-09-12
2022-09-13T12:00:00.000+08:00,0.126,0.0 cm²,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.00038485423755926074 g,0.0,0.001 g,10.0 % d⁻¹,4.062371238580233e-5 g d⁻¹,0.0006151457624407393 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0 g,0.0006151457624407393 g,0.0006151457624407393 g,0.0 g,0.0 g,0.0 g,0.0006151457624407393 g,0.0006151457624407393 g,0.0 g,54.999999999997335 m⁻²,0.0 cm²,0.0 cm²,0.0,0.0,0.0 cm²,0.0 cm²,0.0 cm²,0.0 cm²,7,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0 g d⁻¹,seed,0.45,4.570814507032175e-5 g d⁻¹,0.00043302229875560725 g,0.0 g d⁻¹,0.0 g,0.00043302229875560725 g,0.0 g d⁻¹,0.6603916480643213,0.2 hr⁻¹,false,0.0 hr⁻¹,0.13207832961286425 hr⁻¹,0.039 d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.7,0.0 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,7.430375493312818e-15 d⁻¹,0.9999999999999516,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.0,0.0,66.33076806057261 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 μmol m⁻² s⁻¹,0.0 mmol m⁻² s⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.0 g d⁻¹,0.3902209053630188 kPa,0.0 mol bar⁻¹ m⁻² s⁻¹,NaN cm² g⁻¹,NaN g cm⁻²,7 d,2022-09-13
2022-09-14T12:00:00.000+08:00,0.126,-0.04740694210772323 cm²,0.0007086978060240241 g d⁻¹,0.00012506431871012189 g d⁻¹,0.0005002572748404875 g d⁻¹,0.0002084405311835365 g d⁻¹,0.0007712226719990262 g,1.0,0.001 g,10.0 % d⁻¹,3.737680885528509e-5 g d⁻¹,0.000575866760245009 g,0.000126 g,0.0 g,0.0 g,0.0 g,5.747949338609491e-6 g,2.2991797354437963e-5 g,9.579915564349151e-6 g,0.0006084384731637961 g,0.0006141864225024056 g,5.747949338609491e-6 g,2.2991797354437963e-5 g,9.579915564349151e-6 g,0.0006084384731637961 g,0.0006141864225024056 g,-0.00023703471053861612 g,54.99999999999692 m⁻²,1.803739909047039 cm²,1.803739909047039 cm²,1.0,0.009920569499758159,1.803739909047039 cm²,0.0 cm²,227.14900882715264 cm²,225.3452689181056 cm²,8,1,1,0,0,1,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0031765873564284673 g d⁻¹,vegetative,0.45,4.205486158424404e-5 g d⁻¹,0.00047721743073983713 g,0.0 g d⁻¹,0.0003905308793720831 g,0.0008677483101119203 g,0.0012166812773843486 g d⁻¹,0.6490530698348123,0.2 hr⁻¹,false,0.0 hr⁻¹,0.12981061396696245 hr⁻¹,0.039 d⁻¹,2.5592527764140013e-5 g d⁻¹,0.0011910887496202087 g d⁻¹,0.7,0.000833762124734146 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,8.839907341913975e-15 d⁻¹,0.999999999999944,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.009894685818432888,2.5883681325271357e-5,111.07417735544502 μmol m⁻² s⁻¹,46.784355601721664 μmol m⁻² s⁻¹,0.0673348591500033 μmol m⁻² s⁻¹,0.05934423515420177 μmol m⁻² s⁻¹,0.00607987986303175 mmol m⁻² s⁻¹,0.0031765873564284673 g d⁻¹,0.00279962191125703 g d⁻¹,0.1720628322135208 g d⁻¹,0.410900356520028 kPa,0.18641943730362073 mol bar⁻¹ m⁻² s⁻¹,78451.45297868043 cm² g⁻¹,1.2746736510689674e-5 g cm⁻²,8 d,2022-09-14
2022-09-15T12:00:00.000+08:00,0.126,0.14786135366421327 cm²,0.003569878093732946 g d⁻¹,0.0006299784871293435 g d⁻¹,0.002519913948517374 g d⁻¹,0.0010499641452155724 g d⁻¹,0.0016006128706656144 g,1.0,0.001 g,10.0 % d⁻¹,5.374999076598468e-5 g d⁻¹,0.0005377546414390798 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.00019376329120806012 g,0.0007750531648322405 g,0.00032293881868010016 g,0.0016357466249514205 g,0.0018295099161594805 g,0.00019376329120806012 g,0.0007750531648322405 g,0.00032293881868010016 g,0.0016357466249514205 g,0.0018295099161594805 g,0.0007393067683210664 g,54.99999999999613 m⁻²,1.7705869651432375 cm²,1.7705869651432375 cm²,1.0,0.009738228308287121,1.7705869651432375 cm²,0.0 cm²,227.14900882715264 cm²,225.37842186200942 cm²,8,1,1,0,0,1,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.006738417360823859 g d⁻¹,vegetative,0.45,6.0477298384938316e-5 g d⁻¹,0.000520099633104178 g,0.0 g d⁻¹,0.0012808447168114457 g,0.0018009443499156237 g,0.006145142314007505 g d⁻¹,0.9995263011053678,0.2 hr⁻¹,false,0.0 hr⁻¹,0.19990526022107358 hr⁻¹,0.039 d⁻¹,0.00014534719848994693 g d⁻¹,0.005999795115517558 g d⁻¹,0.7,0.00419985658086229 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,2.0299916381206447e-18 d⁻¹,0.9999999999999296,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.009713111595398515,2.511671288860616e-5,347.3045694212608 μmol m⁻² s⁻¹,146.2588532415849 μmol m⁻² s⁻¹,0.1428357960837405 μmol m⁻² s⁻¹,0.1294806844371836 μmol m⁻² s⁻¹,0.0275423803179552 mmol m⁻² s⁻¹,0.006738417360823859 g d⁻¹,0.006108377002298184 g d⁻¹,0.7794594745571576 g d⁻¹,1.6844876888118856 kPa,0.25596467433420367 mol bar⁻¹ m⁻² s⁻¹,2284.471627861141 cm² g⁻¹,0.00043773798186159127 g cm⁻²,9 d,2022-09-15
2022-09-16T12:00:00.000+08:00,0.126,0.14011060739063308 cm²,0.015537022904996967 g d⁻¹,0.002741827571470053 g d⁻¹,0.010967310285880213 g d⁻¹,0.004569712619116755 g d⁻¹,0.005445449545188973 g,1.0,0.001 g,10.0 % d⁻¹,4.952895093821722e-5 g d⁻¹,0.0004985740076238677 g,0.000126 g,0.0 g,0.0 g,0.0 g,0.0006675712936625705 g,0.002670285174650282 g,0.0011126188227709509 g,0.004281478005045101 g,0.004949049298707671 g,0.0006675712936625705 g,0.002670285174650282 g,0.0011126188227709509 g,0.004281478005045101 g,0.004949049298707671 g,0.0007005530369531654 g,54.999999999995445 m⁻²,8.047974907110964 cm²,8.047974907110964 cm²,1.0,0.04426386198910664,8.047974907110964 cm²,0.0 cm²,280.16882356322986 cm²,272.1208486561189 cm²,9,2,2,0,0,2,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.05128261077147953 g d⁻¹,vegetative,0.45,5.5727956449792315e-5 g d⁻¹,0.0005641840849968311 g,0.0 g d⁻¹,0.005562813748701998 g,0.006126997833698829 g,0.026525602219914377 g d⁻¹,0.993412215254965,0.2 hr⁻¹,false,0.0 hr⁻¹,0.19868244305099303 hr⁻¹,0.039 d⁻¹,0.000412958682104347 g d⁻¹,0.02611264353781003 g d⁻¹,0.7,0.01827885047646702 g d⁻¹,0.0 g hr⁻¹,44.0098 g mol⁻¹,12.0107 g mol⁻¹,30.031 g mol⁻¹,18.01528 g mol⁻¹,0.3999433918284439,55.0 m⁻²,0.9 K⁻¹,-15.0 °C,true,1.0734005293282651e-18 d⁻¹,0.9999999999999172,1.5 cm,0.0 MPa,0.0 mol m⁻² s⁻¹,0.043744450317499496,0.0005194116716071423,1619.6740601826887 μmol m⁻² s⁻¹,676.7298738949943 μmol m⁻² s⁻¹,1.0870493978872837 μmol m⁻² s⁻¹,1.019135556787342 μmol m⁻² s⁻¹,0.21081561118651598 mmol m⁻² s⁻¹,0.05128261077147953 g d⁻¹,0.048078709379423795 g d⁻¹,5.966159192739281 g d⁻¹,1.679178664092344 kPa,0.39594337143483876 mol bar⁻¹ m⁻² s⁻¹,3013.9009059828145 cm² g⁻¹,0.00033179591207359424 g cm⁻²,10 d,2022-09-16
